Progress,Feature
1,"Wide variety of <a href=""question-types.html"">question types</a>"
1,"Ability to <a href=""fetch-data.html#reactive-fetching"">use latest survey results</a> in the survey itself"
1,"<a href=""getting-started.html#setup-your-database"">Pause database connection</a>"
1,"<a href=""config-options.html#conditional-display"">Conditionally display questions</a>"
1,"<a href=""config-options.html#conditional-skipping"">Conditionally skip to pages</a>"
1,"Start survey from a <a href=""config-options.html#starting-page"">specific page</a> (helpful when editing) "
1,"<a href=""config-options.html#show-all-pages"">Show all pages at once</a> (helpful for editing or printing out whole survey)"
1,"<a href=""config-options.html#required-responses"">Require</a> specific questions be answered"
1,"<a href=""config-options.html#required-responses"">Require</a> all questions be answered"
1,"Create a random numeric <a href=""displaying-stored-values-e.g.-a-completion-code"">completion code</a>"
1,Time stamps recorded for each question and page interaction
1,"<a href=""config-options.html#auto-scroll"">Auto scroll according to the answering progress</a>"
1,"<a href=""survey-components.html#progress-bar"">Progress bar</a> bar that updates on each question interaction"
1,"Customizable <a href=""survey-components.html#progress-bar"">progress bar</a> color"
1,"Customizable <a href=""survey-components.html#progress-bar"">progress bar</a> position"
1,"<a href=""formatting.html#markdown-formatting"">Markdown formatting</a> for options and buttons"
1,"<a href=""survey-components.html#changing-the-look-and-feel"">Support for bootstrap themes</a>"
1,"<a href=""survey-components.html#changing-the-look-and-feel"">Customizable scss theme file</a>"
1,"<a href=""redirect.html#reactive-redirect"">Pass parameters</a> through the url, e.g. to track user IDs"
1,"<a href=""redirection.html"">Redirect</a> users to an external url"
1,Store session ID in browser cookies to store user progress if they refresh the page
0,"<a href=""config-options.html#admin-page"">Admin page</a> with password login to preview / download data, pause survey, etc."
0,Form validation (limit input based on question type)
